	Pd1*	Pd2*	Pd3*	Pd4*	Pd4_3&1*	Pd5*	Pd5_4&1*	Pd6_1*	Pd6_2*	Pd6_3*	Pd6_4&2*	Pd6_5&1*	Pd7_1*	Pd7_2*	Pd7_3*	Pd7_4*	Pd7_5&2*	Pd7_6_1&1*	Pd7_6_2&1*	Pd7_6_3&1*	t
39	11.1	115.2	52.9	10.2	0.0	0.9	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.3900000000000002
40	10.9	115.1	52.9	10.3	0.0	0.9	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.40000000000000024
41	10.6	114.9	53.0	10.4	0.0	0.9	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.41000000000000025
42	10.3	114.8	53.0	10.4	0.0	1.0	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.42000000000000026
43	9.8	114.9	53.1	10.4	0.0	1.0	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.43000000000000027
44	9.5	114.6	53.4	10.4	0.0	1.0	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.4400000000000003
45	9.1	114.4	53.5	10.4	0.0	1.1	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.4500000000000003
46	8.7	114.1	53.7	10.5	0.0	1.1	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.46000000000000024
47	8.3	113.7	54.1	10.5	0.0	1.1	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.4700000000000003
48	8.1	113.6	54.1	10.6	0.0	1.1	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.4800000000000003
49	8.1	113.6	54.1	10.6	0.0	1.1	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.4900000000000003
50	8.1	113.6	54.1	10.6	0.0	1.1	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.5000000000000001
51	7.7	113.5	54.3	10.6	0.0	1.1	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.5100000000000001
52	7.3	113.3	54.3	10.8	0.0	1.1	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.5200000000000004
53	6.5	112.8	54.5	11.1	0.0	1.1	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.5300000000000002
54	6.3	112.7	54.6	11.1	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.5400000000000001
55	6.2	112.6	54.7	11.1	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.5500000000000004
56	5.9	112.4	54.8	11.2	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.5600000000000004
57	5.8	112.4	54.7	11.3	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.5700000000000003
58	5.7	112.4	54.6	11.4	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.5800000000000002
59	5.7	112.4	54.6	11.4	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.5900000000000002
60	5.2	112.2	54.9	11.4	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.6000000000000004
61	5.1	112.1	55.0	11.4	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.6100000000000003
62	5.1	112.1	55.0	11.4	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.6200000000000002
63	4.8	112.1	55.1	11.4	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.6300000000000004
64	4.6	111.7	55.3	11.5	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.6400000000000005
65	4.6	111.7	55.3	11.5	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.6500000000000004
66	4.5	111.6	55.4	11.5	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.6600000000000003
67	4.5	111.6	55.4	11.5	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.6700000000000003
68	4.5	111.6	55.4	11.5	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.6800000000000005
69	4.3	111.4	55.6	11.5	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.6900000000000004
70	4.2	111.3	55.7	11.5	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.7000000000000003
